StockCode,units,sales_value,revenue_share,cumulative_share,ABC
22423,9199,113527.09,0.017982295394287747,0.017982295394287747,A
47566,16386,88920.87000000001,0.014084755903256746,0.032067051297544495,A
23166,76917,80353.07,0.012727646243534308,0.0447946975410788,A
85123A,26597,73641.27,0.01166452051532811,0.05645921805640691,A
85099B,33897,65966.82,0.010448914382125087,0.066908132438532,A
22502,1764,50293.86,0.007966372141124669,0.07487450457965666,A
84879,24746,39818.9,0.006307174984187514,0.08118167956384417,A
23298,6908,34949.600000000006,0.0055358948345474125,0.08671757439839159,A
22386,15663,30971.09,0.004905712716348771,0.09162328711474035,A
22720,5887,29105.600000000002,0.004610225601906836,0.0962335127166472,A
79321,5334,27807.68,0.004404639597384444,0.10063815231403164,A
20725,15066,27011.81,0.004278576563130226,0.10491672887716187,A
23203,13521,26505.18,0.004198328136824151,0.10911505701398602,A
85099F,13798,26096.28,0.00413355980191198,0.113248616815898,A
22960,6136,25544.5,0.004046159772961532,0.11729477658885953,A
22197,29599,24289.88,0.0038474323375310873,0.12114220892639062,A
21931,10251,22990.6,0.0036416309137485324,0.12478383984013915,A
23199,11397,22851.06,0.003619528264069774,0.1284033681042089,A
82484,3625,22407.26,0.0035492318907901902,0.1319525999949991,A
22178,16826,21921.88,0.00347234939042416,0.13542494938542324,A
22699,7583,21891.170000000002,0.003467485033453867,0.1388924344188771,A
21621,2466,21723.829999999998,0.003440978960662957,0.14233341337954006,A
22469,12242,21554.199999999997,0.003414110159853097,0.14574752353939316,A
23173,2427,21423.36,0.0033933855598533213,0.1491409090992465,A
48185,3324,21332.2,0.0033789461335618234,0.1525198552328083,A
22411,9121,20886.06,0.003308279112437548,0.15582813434524587,A
23245,4303,20401.77,0.0032315692642726768,0.15905970360951854,A
22090,6749,20284.29,0.00321296084171097,0.1622726644512295,A
48138,3091,20240.07,0.003205956547825384,0.1654786209990549,A
20685,3083,20176.4,0.0031958714417264404,0.16867449244078134,A
85099C,10048,20138.59,0.003189882469500886,0.17186437491028222,A
48187,3266,19890.16,0.003150532023322772,0.175014906933605,A
15056N,3390,19549.600000000002,0.0030965885062337792,0.17811149543983879,A
21175,9095,19487.71,0.003086785345931225,0.18119828078577002,A
22470,6366,19359.760000000002,0.003066518511859295,0.18426479929762932,A
23243,3952,19124.12,0.003029193957105799,0.1872939932547351,A
23284,3033,19055.39,0.0030183073646418384,0.19031230061937696,A
22629,10482,18848.59,0.002985550965375913,0.19329785158475288,A
21137,5374,18627.28,0.0029504962326798675,0.19624834781743275,A
21929,8805,18624.71,0.002950089153636766,0.1991984369710695,A
22457,6059,18341.49,0.002905228092707871,0.2021036650637774,A
23201,9271,18217.88,0.0028856486995102837,0.20498931376328766,A
22383,10107,17938.66,0.0028414212246406904,0.20783073498792834,A
22501,1502,17904.27,0.0028359739684958394,0.21066670895642417,A
48194,2900,17884.84,0.0028328963242127787,0.21349960528063694,A
22666,5709,17792.190000000002,0.002818220887114191,0.21631782616775114,A
22722,4253,17493.670000000002,0.0027709363595084645,0.2190887625272596,A
20713,8751,17409.56,0.0027576136286464863,0.22184637615590608,A
20728,9387,17127.59,0.002712950563361123,0.2245593267192672,A
22355,11373,16918.79,0.002679877371065546,0.22723920409033274,A
22630,9311,16828.21,0.0026655298147526467,0.2299047339050854,A
15036,21737,16816.28,0.0026636401443307775,0.23256837404941616,A
22326,5888,16721.5,0.002648627322655611,0.23521700137207177,A
20727,9159,16549.88,0.0026214433127812486,0.23783844468485302,A
22697,5354,16455.5,0.0026064938497120118,0.24044493853456503,A
21523,2626,16396.32,0.0025971199439646354,0.24304205847852967,A
