sku,policy,train_daily_mean,train_daily_std,lead_days_assumed,common_initial_on_hand,warmup_days,safety_stock_units,reorder_point_units,order_quantity_eoq_units,estimated_purchase_price_gbp,requested_units,filled_units,unfilled_units,days_with_shortage,simulated_fill_rate,average_ending_on_hand,orders
22423,no_safety_stock,34.67078189300412,41.57307926572256,3,619,30,0,105,514,7.6499999999999995,2137,2093,44,3,0.9794103883949462,293.327868852459,4
22423,95pct_normal_buffer,34.67078189300412,41.57307926572256,3,619,30,119,224,514,7.6499999999999995,2137,2102,35,2,0.9836218998596162,359.8524590163934,4
47566,no_safety_stock,62.75308641975309,75.17300116445406,3,1300,30,0,189,1111,2.97,1536,1398,138,3,0.91015625,707.7868852459017,1
47566,95pct_normal_buffer,62.75308641975309,75.17300116445406,3,1300,30,215,404,1111,2.97,1536,1536,0,0,1.0,832.1311475409836,1
23166,no_safety_stock,315.10699588477365,4760.374357291917,3,5899,30,0,946,4953,0.75,909,909,0,0,1.0,5252.0327868852455,0
23166,95pct_normal_buffer,315.10699588477365,4760.374357291917,3,5899,30,13564,14510,4953,0.75,909,909,0,0,1.0,15158.032786885246,0
85123A,no_safety_stock,99.1522633744856,253.61182160716712,3,2107,30,0,298,1809,1.77,6646,6602,44,1,0.9933794763767679,957.5737704918033,4
85123A,95pct_normal_buffer,99.1522633744856,253.61182160716712,3,2107,30,723,1021,1809,1.77,6646,6646,0,0,1.0,1452.344262295082,4
85099B,no_safety_stock,121.38271604938272,161.4722222024761,3,2748,30,0,365,2383,1.248,11321,8688,2633,6,0.7674233724935959,1165.0,4
85099B,95pct_normal_buffer,121.38271604938272,161.4722222024761,3,2748,30,461,826,2383,1.248,11321,10803,518,2,0.954244324706298,1589.688524590164,5
22502,no_safety_stock,7.230452674897119,15.614029325504347,3,366,30,0,22,344,3.57,0,0,0,0,1.0,359.0,0
22502,95pct_normal_buffer,7.230452674897119,15.614029325504347,3,366,30,45,67,344,3.57,0,0,0,0,1.0,359.0,0
84879,no_safety_stock,89.22633744855968,234.43465098927712,3,2535,30,0,268,2267,1.014,8014,6648,1366,4,0.8295482904916396,1127.3934426229507,3
84879,95pct_normal_buffer,89.22633744855968,234.43465098927712,3,2535,30,668,936,2267,1.014,8014,8014,0,0,1.0,1609.4918032786886,4
