sku,policy,train_daily_mean,train_daily_std,lead_days_assumed,common_initial_on_hand,warmup_days,safety_stock_units,reorder_point_units,order_quantity_eoq_units,estimated_purchase_price_gbp,requested_units,filled_units,unfilled_units,days_with_shortage,simulated_fill_rate,average_ending_on_hand,orders
22423,no_safety_stock,34.67078189300412,41.57307926572256,7,757,30,0,243,514,7.6499999999999995,2137,2074,63,1,0.9705194197473093,291.04918032786884,4
22423,95pct_normal_buffer,34.67078189300412,41.57307926572256,7,757,30,181,424,514,7.6499999999999995,2137,2137,0,0,1.0,415.37704918032784,5
47566,no_safety_stock,62.75308641975309,75.17300116445406,7,1551,30,0,440,1111,2.97,1536,1536,0,0,1.0,791.7213114754098,1
47566,95pct_normal_buffer,62.75308641975309,75.17300116445406,7,1551,30,328,768,1111,2.97,1536,1536,0,0,1.0,1101.344262295082,1
23166,no_safety_stock,315.10699588477365,4760.374357291917,7,7159,30,0,2206,4953,0.75,909,909,0,0,1.0,6512.0327868852455,0
23166,95pct_normal_buffer,315.10699588477365,4760.374357291917,7,7159,30,20719,22925,4953,0.75,909,909,0,0,1.0,26324.032786885247,0
85123A,no_safety_stock,99.1522633744856,253.61182160716712,7,2504,30,0,695,1809,1.77,6646,6608,38,1,0.9942822750526633,994.9344262295082,4
85123A,95pct_normal_buffer,99.1522633744856,253.61182160716712,7,2504,30,1104,1799,1809,1.77,6646,6646,0,0,1.0,1908.655737704918,4
85099B,no_safety_stock,121.38271604938272,161.4722222024761,7,3233,30,0,850,2383,1.248,11321,8157,3164,11,0.7205193887465772,1072.9016393442623,4
85099B,95pct_normal_buffer,121.38271604938272,161.4722222024761,7,3233,30,703,1553,2383,1.248,11321,10259,1062,3,0.9061920325059624,1582.1311475409836,4
22502,no_safety_stock,7.230452674897119,15.614029325504347,7,395,30,0,51,344,3.57,0,0,0,0,1.0,388.0,0
22502,95pct_normal_buffer,7.230452674897119,15.614029325504347,7,395,30,68,119,344,3.57,0,0,0,0,1.0,388.0,0
84879,no_safety_stock,89.22633744855968,234.43465098927712,7,2892,30,0,625,2267,1.014,8014,6782,1232,7,0.8462690291989019,1018.0983606557377,3
84879,95pct_normal_buffer,89.22633744855968,234.43465098927712,7,2892,30,1021,1646,2267,1.014,8014,8014,0,0,1.0,1892.1639344262296,4
